path,artist,style,genre,style_id,genre_id
47784.jpg,William Merritt Chase,Impressionism,genre painting,41,15
18601.jpg,George Bouzianis,Expressionism,portrait,30,27
90289.jpg,Vincent van Gogh,Realism,sketch and study,97,33
64989.jpg,Corneliu Baba,Expressionism,genre painting,30,15
69624.jpg,Jean-Michel Basquiat,Neo-Expressionism,figurative,68,13
86612.jpg,Mikhail Vrubel,Realism,flower painting,97,14
51666.jpg,Titian,Mannerism (Late Renaissance),mythological painting,54,23
64037.jpg,Giovanni Battista Piranesi,Neoclassicism,design,73,12
23971.jpg,George Stefanescu-Ramnic ,Fauvism,bird-and-flower painting,32,6
48313.jpg,Arkhip Kuindzhi,Realism,landscape,97,19
44233.jpg,Sergey Solomko,Art Nouveau (Modern),allegorical painting,10,2
101630.jpg,Henri Martin,Divisionism,landscape,27,19
8175.jpg,Josef Albers,Hard Edge Painting,abstract,38,0
33188.jpg,Raphael Kirchner,Art Nouveau (Modern),design,10,12
49026.jpg,Leo Leuppi,Concretism,abstract,19,0
51478.jpg,Andrea del Sarto,Mannerism (Late Renaissance),religious painting,54,30
26970.jpg,Carlos Saenz de Tejada,Expressionism,genre painting,30,15
68982.jpg,Henri Matisse,Post-Impressionism,portrait,89,27
91837.jpg, Wassily Kandinsky,Abstract Art,abstract,0,0
76583.jpg,Camille Corot,Romanticism,mythological painting,101,23
2108.jpg,Oskar Kokoschka,Expressionism,self-portrait,30,31
87560.jpg,Amedeo Modigliani,Expressionism,portrait,30,27
73517.jpg,Yves Laloy,Surrealism,abstract,109,0
43244.jpg,Marianne North,Naturalism,animal painting,63,3
22466.jpg,Camille Corot,Realism,landscape,97,19
74967.jpg,Stanley Spencer,Neo-Romanticism,portrait,71,27
25166.jpg,Henri Martin,Divisionism,genre painting,27,15
85851.jpg,Filipp Malyavin,Art Nouveau (Modern),portrait,10,27
29348.jpg,Valentin Serov,Realism,sketch and study,97,33
71004.jpg,Alfred Manessier,Art Informel,abstract,9,0
38391.jpg,Julius LeBlanc Stewart,Realism,genre painting,97,15
63960.jpg,Ben Nicholson,Cubism,sketch and study,23,33
29344.jpg,M.C. Escher,Op Art,tessellation,81,36
17941.jpg,Vasily Perov,Realism,portrait,97,27
71428.jpg,Aubrey Beardsley,Art Nouveau (Modern),portrait,10,27
59877.jpg,Joseph-Marie Vien,Rococo,portrait,99,27
98925.jpg,Pablo Picasso,Surrealism,genre painting,109,15
83725.jpg,Guido Reni,Baroque,religious painting,12,30
50746.jpg,Vasily Perov,Realism,genre painting,97,15
64692.jpg,Orest Kiprensky,Romanticism,portrait,101,27
84301.jpg,Alexandre Jacovleff,Neoclassicism,portrait,73,27
96708.jpg,Leon Spilliaert,Symbolism,genre painting,110,15
27346.jpg,Pablo Picasso,Synthetic Cubism,still life,112,34
28442.jpg,Jean Degottex,Minimalism,abstract,57,0
22985.jpg,Gene Davis,Color Field Painting,abstract,17,0
56838.jpg,Hieronymus Bosch,Northern Renaissance,religious painting,79,30
45497.jpg,Hans Memling,Northern Renaissance,allegorical painting,79,2
19093.jpg,Janos Mattis-Teutsch,Abstract Art,abstract,0,0
94279.jpg,Otto Dix,Verism,self-portrait,122,31
4570.jpg,Giovanni Battista Tiepolo,Rococo,allegorical painting,99,2
98265.jpg,Kiyoshi Saito,Sōsaku hanga,landscape,114,19
88051.jpg,Nikos Nikolaou,Expressionism,nude painting (nu),30,24
87598.jpg,Francesco Guardi,Baroque,sketch and study,12,33
26083.jpg,James Webb ,Romanticism,landscape,101,19
18026.jpg,Thomas Sully,Romanticism,portrait,101,27
18951.jpg,Jean-Michel Basquiat,Neo-Expressionism,figurative,68,13
60529.jpg,Childe Hassam,Impressionism,landscape,41,19
24927.jpg,Karl Bryullov,Orientalism,genre painting,82,15
82956.jpg,Georgia O'Keeffe,Precisionism,flower painting,93,14
87068.jpg,Albert Bierstadt,Luminism,landscape,51,19
96093.jpg,Burhan Dogancay,Street art,figurative,107,13
47084.jpg,Vasily Surikov,Realism,portrait,97,27
56175.jpg,George Bellows,American Realism,landscape,4,19
77225.jpg,William Turner,Romanticism,cityscape,101,10
63181.jpg,Ion Alin Gheorghiu,Cubism,figurative,23,13
29179.jpg,Benjamin West,Neoclassicism,history painting,73,16
40975.jpg,William Blake,Symbolism,illustration,110,17
43449.jpg,Edgar Degas,Impressionism,genre painting,41,15
96649.jpg,Horia Bernea,Expressionism,cityscape,30,10
84146.jpg,Edouard Manet,Impressionism,genre painting,41,15
31351.jpg,Victor Pasmore,Color Field Painting,abstract,17,0
65588.jpg,Jean Arp,Dada,illustration,26,17
41067.jpg,William Merritt Chase,Impressionism,landscape,41,19
5432.jpg,William Blake,Symbolism,symbolic painting,110,35
41101.jpg,Toshi Yoshida,Sōsaku hanga,landscape,114,19
80069.jpg,Henryk Siemiradzki,Academicism,sketch and study,2,33
7010.jpg,Rogier van der Weyden,Northern Renaissance,religious painting,79,30
24679.jpg,Hans Memling,Northern Renaissance,religious painting,79,30
36725.jpg,Titian,High Renaissance,portrait,39,27
61082.jpg,Edgar Degas,Impressionism,nude painting (nu),41,24
47576.jpg,Cornelis Springer,Romanticism,cityscape,101,10
49785.jpg,Francis Bott,Art Informel,abstract,9,0
100290.jpg,Gene Davis,Color Field Painting,abstract,17,0
100743.jpg,Albrecht Durer,Northern Renaissance,religious painting,79,30
41110.jpg,Frederic Leighton,Academicism,mythological painting,2,23
63078.jpg,Oscar Dominguez,Surrealism,symbolic painting,109,35
87083.jpg,Rafael Zabaleta,Expressionism,symbolic painting,30,35
38035.jpg,Antonello da Messina,Early Renaissance,portrait,28,27
4509.jpg,Robert Harris,Realism,portrait,97,27
78730.jpg,Juan Gris,Cubism,still life,23,34
69669.jpg,Remedios Varo,Surrealism,symbolic painting,109,35
65980.jpg,Luca Signorelli,High Renaissance,religious painting,39,30
33958.jpg,Alfred Stevens,Romanticism,genre painting,101,15
75060.jpg,Edouard Vuillard,Japonism,genre painting,46,15
68741.jpg,Richard Diebenkorn,Expressionism,portrait,30,27
96711.jpg,Louise Elisabeth Vigee Le Brun,Rococo,portrait,99,27
19389.jpg,Kitagawa Utamaro,Ukiyo-e,illustration,121,17
21730.jpg,Nathan Oliveira,Neo-Expressionism,figurative,68,13
41737.jpg,David Alfaro Siqueiros,Muralism,symbolic painting,60,35
45216.jpg,Juan Gris,Cubism,portrait,23,27
97600.jpg,Rembrandt,Baroque,self-portrait,12,31
7596.jpg,Antoine Pesne,Rococo,portrait,99,27
7383.jpg,Cornelis Vreedenburgh,Impressionism,landscape,41,19
41826.jpg,Martiros Saryan,Expressionism,sketch and study,30,33
54038.jpg,Thomas Downing,Op Art,abstract,81,0
61295.jpg,Edouard Cortes,Post-Impressionism,cityscape,89,10
95259.jpg,Albert Marquet,Post-Impressionism,still life,89,34
78654.jpg,John James Audubon,Naturalism,illustration,63,17
23801.jpg,William Michael Harnett,Realism,still life,97,34
32580.jpg,Guercino,Baroque,portrait,12,27
21143.jpg,Alfred Wallis,Naïve Art (Primitivism),marina,64,21
97875.jpg,Arthur Hughes,Romanticism,genre painting,101,15
95664.jpg,Perle Fine,Minimalism,abstract,57,0
53400.jpg,Leonardo da Vinci,High Renaissance,sketch and study,39,33
23369.jpg,Sandor Bortnyik,Futurism,portrait,35,27
21821.jpg,Karl Knaths,Cubism,abstract,23,0
100709.jpg,Ilya Mashkov,Post-Impressionism,portrait,89,27
101540.jpg,John Singer Sargent,Impressionism,landscape,41,19
23877.jpg,Sophie Taeuber-Arp,Constructivism,abstract,20,0
58076.jpg,M. H. Maxy,Cubism,portrait,23,27
22926.jpg,Rene Magritte,Surrealism,symbolic painting,109,35
63029.jpg,Odilon Redon,Symbolism,portrait,110,27
33697.jpg,William James Glackens,Impressionism,genre painting,41,15
53946.jpg,Edouard Cortes,Post-Impressionism,cityscape,89,10
63829.jpg,Thomas Cole,Romanticism,sketch and study,101,33
92299.jpg,John Henry Twachtman,Impressionism,landscape,41,19
6907.jpg,Louis Valtat,Fauvism,landscape,32,19
2641.jpg,Julius LeBlanc Stewart,Realism,sketch and study,97,33
6394.jpg, Fyodor Solntsev,Romanticism,sketch and study,101,33
60946.jpg,John Constable,Romanticism,landscape,101,19
5752.jpg,Theo van Doesburg,Constructivism,design,20,12
6344.jpg,Katsushika Hokusai,Ukiyo-e,landscape,121,19
19361.jpg,Jean-Honore Fragonard,Rococo,genre painting,99,15
29840.jpg,Twins Seven Seven,Primitivism,symbolic painting,94,35
38244.jpg,Odilon Redon,Symbolism,mythological painting,110,23
72144.jpg,Maria Primachenko,Naïve Art (Primitivism),genre painting,64,15
63575.jpg,Burhan Dogancay,Street art,figurative,107,13
93226.jpg,Honore Daumier,Realism,caricature,97,9
41623.jpg,Camille Corot,Realism,landscape,97,19
60171.jpg,Jan Matejko,Academicism,genre painting,2,15
32320.jpg,Mikalojus Ciurlionis,Symbolism,marina,110,21
10946.jpg,Hieronymus Bosch,Northern Renaissance,religious painting,79,30
5136.jpg,Ivan Kramskoy,Realism,portrait,97,27
1644.jpg,Jock Macdonald,Surrealism,symbolic painting,109,35
10820.jpg,Valentin Serov,Realism,sketch and study,97,33
77581.jpg,Francis Picabia,Impressionism,landscape,41,19
54155.jpg,Hans Holbein the Younger,Northern Renaissance,portrait,79,27
18248.jpg,Roberto Matta,Surrealism,abstract,109,0
4680.jpg,John Henry Twachtman,Impressionism,landscape,41,19
84085.jpg,Edgar Degas,Impressionism,genre painting,41,15
4026.jpg,Avigdor Arikha,Expressionism,flower painting,30,14
90049.jpg,Felicien Rops,Symbolism,nude painting (nu),110,24
100567.jpg,Mark Rothko,Color Field Painting,abstract,17,0
101919.jpg,Leonardo da Vinci,High Renaissance,sketch and study,39,33
63254.jpg,Ferdinand Georg Waldmüller,Biedermeier,genre painting,13,15
22941.jpg,Robert Campin,Northern Renaissance,religious painting,79,30
58397.jpg,Jacek Malczewski,Symbolism,religious painting,110,30
85647.jpg,Maxfield Parrish,Romanticism,landscape,101,19
48621.jpg,Mstislav Dobuzhinsky,Art Nouveau (Modern),cityscape,10,10
35867.jpg,Robert Henri,American Realism,portrait,4,27
33895.jpg,Pierre-Auguste Renoir,Impressionism,genre painting,41,15
6473.jpg,Henri Rousseau,Naïve Art (Primitivism),wildlife painting,64,39
30120.jpg,Gerard Schneider,Tachisme,abstract,115,0
